filter,beta_scaling,numblocks,mse
FullSF,false,4,0.28093337870551405
FullSF,false,16,NaN
FullSF,false,2,0.2259246637703148
FullSF,false,8,0.18547396839382263
FullSF,false,1,0.17234831452387678
BlockSF,false,4,0.2062018934742484
BlockSF,false,16,0.3418985474451415
BlockSF,false,2,0.20434334442472915
BlockSF,false,8,0.3387943667008334
BlockSF,false,1,0.16303467120261644
DiagSF,false,4,0.4189531864845971
DiagSF,false,16,NaN
DiagSF,false,2,0.38991110318587013
DiagSF,false,8,0.5467064091394896
DiagSF,false,1,0.27262708667755425
DiagSF,false,4,0.4189531864845971
DiagSF,false,16,NaN
DiagSF,false,2,0.38991110318587013
DiagSF,false,8,0.5467064091394896
DiagSF,false,1,0.27262708667755425
DiagSF,false,4,0.4189531864845971
DiagSF,false,16,NaN
DiagSF,false,2,0.38991110318587013
DiagSF,false,8,0.5467064091394896
DiagSF,false,1,0.27262708667755425
BlockSF,true,4,0.5173982557398346
BlockSF,true,16,0.7982006826818299
BlockSF,true,2,0.3595404093933781
BlockSF,true,8,0.6966925633306102
BlockSF,true,1,0.22545009000419447
BlockSF,true,4,0.5173982557398346
BlockSF,true,16,0.7982006826818299
BlockSF,true,2,0.3595404093933781
BlockSF,true,8,0.6966925633306102
BlockSF,true,1,0.22545009000419447
DiagSF,true,4,0.6180363696083575
DiagSF,true,16,0.9089050228755534
DiagSF,true,2,0.4916203717431641
DiagSF,true,8,0.8045534042086886
DiagSF,true,1,0.25963944132142863
