filter,sparse_input,beta_scaling,beta,dim,mse
DiagSF,false,false,0.1,8,0.2671879563341484
DiagSF,false,false,0.1,16,0.3506445354290871
DiagSF,false,true,0.1,8,0.3204953157266993
DiagSF,false,false,0.1,32,0.33333740046245103
DiagSF,false,true,0.07071067811865475,16,0.43315110889806924
BlockSF,false,false,0.1,8,0.17378087330434824
DiagSF,false,false,0.1,64,0.5981595616640889
BlockSF,false,true,0.1,8,0.18089442418080562
DiagSF,false,true,0.05,32,0.7171897596468197
BlockSF,false,false,0.1,16,0.26176500732416985
FullSF,false,false,0.1,8,0.20944424086241836
FullSF,false,true,0.1,8,0.19398375838788887
BlockSF,false,true,0.07071067811865475,16,0.36306254444178665
DiagSF,false,false,0.1,128,NaN
DiagSF,false,true,0.035355339059327376,64,0.7952243180587365
FullSF,false,false,0.1,16,0.13954770611640702
BlockSF,false,false,0.1,32,0.2135055894319256
FullSF,false,true,0.07071067811865475,16,0.3339958538350179
BlockSF,false,true,0.05,32,0.5305259482302255
DiagSF,false,true,0.025,128,0.882087418423284
BlockSF,false,false,0.1,64,0.34164888571247204
FullSF,false,false,0.1,32,0.20974351078497758
DiagSF,false,false,0.1,256,NaN
FullSF,false,true,0.05,32,0.4922668216215497
BlockSF,false,true,0.035355339059327376,64,0.6224605653532762
BlockSF,false,false,0.1,128,0.54406953929009
FullSF,false,false,0.1,64,0.32457309457343003
DiagSF,false,true,0.017677669529663688,256,6.908362745239156e18
DiagSF,false,false,0.1,512,NaN
FullSF,false,true,0.035355339059327376,64,0.5892329734005817
BlockSF,false,true,0.025,128,0.8147377099532924
DiagSF,false,false,0.1,1024,3.75595308549829e240
DiagSF,false,true,0.0125,512,8.406545512452026e37
BlockSF,false,false,0.1,256,NaN
FullSF,false,false,0.1,128,0.20751800209728655
FullSF,false,true,0.025,128,0.7881245485512979
BlockSF,false,true,0.017677669529663688,256,0.890624487103514
DiagSF,false,true,0.008838834764831844,1024,1.5163606277217338e80
BlockSF,false,false,0.1,512,NaN
FullSF,false,false,0.1,256,NaN
BlockSF,false,true,0.0125,512,NaN
FullSF,false,true,0.017677669529663688,256,0.8672909553861307
BlockSF,false,false,0.1,1024,NaN
DiagSF,false,false,0.1,8,0.2767241772982473
DiagSF,false,false,0.1,16,0.34934853276503725
DiagSF,false,true,0.1,8,0.2957518887693526
DiagSF,false,false,0.1,32,0.3816924007377069
DiagSF,false,true,0.07071067811865475,16,0.4790559321662576
BlockSF,false,false,0.1,8,0.17755734100107826
DiagSF,false,false,0.1,64,0.46765652846820993
BlockSF,false,true,0.1,8,0.18704274999817946
DiagSF,false,true,0.05,32,0.6759390931145081
BlockSF,false,false,0.1,16,0.2657602813176529
FullSF,false,false,0.1,8,0.1958442457199993
FullSF,false,true,0.1,8,0.1620252406691172
BlockSF,false,true,0.07071067811865475,16,0.29431302103850326
DiagSF,false,false,0.1,128,1.3286694099372018e40
DiagSF,false,true,0.035355339059327376,64,0.7534466534553177
BlockSF,false,false,0.1,32,0.24735838108717279
FullSF,false,false,0.1,16,0.15316678694251984
FullSF,false,true,0.07071067811865475,16,0.3380479116357414
BlockSF,false,true,0.05,32,0.49950938881458723
DiagSF,false,true,0.025,128,0.8660899280924319
BlockSF,false,false,0.1,64,0.3801274952549749
FullSF,false,false,0.1,32,0.22264258893333297
DiagSF,false,false,0.1,256,NaN
FullSF,false,true,0.05,32,0.4488611769695142
BlockSF,false,true,0.035355339059327376,64,0.647974241913689
BlockSF,false,false,0.1,128,0.40527901755516443
FullSF,false,false,0.1,64,0.2671371173824042
DiagSF,false,true,0.017677669529663688,256,0.9490458199601791
DiagSF,false,false,0.1,512,Inf
FullSF,false,true,0.035355339059327376,64,0.5983000521199457
BlockSF,false,true,0.025,128,0.7714058817994557
DiagSF,false,false,0.1,1024,NaN
DiagSF,false,true,0.0125,512,2.945328506207756e231
BlockSF,false,false,0.1,256,NaN
FullSF,false,false,0.1,128,0.2744123015313887
FullSF,false,true,0.025,128,0.7381741067404184
BlockSF,false,true,0.017677669529663688,256,0.8911171970034749
DiagSF,false,true,0.008838834764831844,1024,6.803180533778575e70
BlockSF,false,false,0.1,512,NaN
FullSF,false,false,0.1,256,NaN
BlockSF,false,true,0.0125,512,NaN
FullSF,false,true,0.017677669529663688,256,0.8429242797990194
DiagSF,false,false,0.1,8,0.2496129282742376
DiagSF,false,false,0.1,16,0.32492462516447923
DiagSF,false,true,0.1,8,0.3083885693440492
DiagSF,false,false,0.1,32,0.31293523229867237
DiagSF,false,true,0.07071067811865475,16,0.42967387147583
BlockSF,false,false,0.1,8,0.22128942366260426
DiagSF,false,false,0.1,64,0.4522199125472839
BlockSF,false,true,0.1,8,0.18202497436361822
DiagSF,false,true,0.05,32,0.627026970261498
BlockSF,false,false,0.1,16,0.2523106680668181
FullSF,false,false,0.1,8,0.15689513071722772
FullSF,false,true,0.1,8,0.21948537248798428
BlockSF,false,true,0.07071067811865475,16,0.31415762527645075
DiagSF,false,false,0.1,128,3.704061822254125e114
DiagSF,false,true,0.035355339059327376,64,0.7638390515028928
FullSF,false,false,0.1,16,0.24602307449811545
BlockSF,false,false,0.1,32,0.29292566755673505
FullSF,false,true,0.07071067811865475,16,0.3079433251745531
BlockSF,false,true,0.05,32,0.5243251219840861
DiagSF,false,true,0.025,128,0.8774909634838207
BlockSF,false,false,0.1,64,0.35053849078016935
FullSF,false,false,0.1,32,0.2551148104707218
DiagSF,false,false,0.1,256,NaN
FullSF,false,true,0.05,32,0.519177497762027
BlockSF,false,true,0.035355339059327376,64,0.7036329330873075
BlockSF,false,false,0.1,128,1.4679511260485591e165
FullSF,false,false,0.1,64,0.2296557669450266
DiagSF,false,false,0.1,512,NaN
DiagSF,false,true,0.017677669529663688,256,2.5979767063027426e42
FullSF,false,true,0.035355339059327376,64,0.6513335115197192
BlockSF,false,true,0.025,128,0.7975007836040153
BlockSF,false,false,0.1,256,7.345916665561792e95
FullSF,false,false,0.1,128,0.3095967216339453
DiagSF,false,true,0.0125,512,1.2705831182485852e46
FullSF,false,true,0.025,128,0.759279538052384
BlockSF,false,true,0.017677669529663688,256,0.8786997936148216
BlockSF,false,false,0.1,512,NaN
FullSF,false,false,0.1,256,NaN
BlockSF,false,true,0.0125,512,NaN
FullSF,false,true,0.017677669529663688,256,0.886801835315245
DiagSF,false,false,0.1,8,0.258596412678094
DiagSF,false,false,0.1,16,0.3593924333582429
DiagSF,false,true,0.1,8,0.29784858808962533
DiagSF,false,false,0.1,32,0.4068006773498656
DiagSF,false,true,0.07071067811865475,16,0.4392554141528319
BlockSF,false,false,0.1,8,0.16565763187570592
BlockSF,false,true,0.1,8,0.1740138320363278
DiagSF,false,false,0.1,64,0.4761610672627902
DiagSF,false,true,0.05,32,0.6061053187511267
BlockSF,false,false,0.1,16,0.28638290373155545
FullSF,false,false,0.1,8,0.2884057439406981
FullSF,false,true,0.1,8,0.176163333608863
BlockSF,false,true,0.07071067811865475,16,0.352425360252684
DiagSF,false,false,0.1,128,2.212611535801287
DiagSF,false,true,0.035355339059327376,64,0.7523809021472262
FullSF,false,false,0.1,16,0.20610851644347386
BlockSF,false,false,0.1,32,0.3336265499974034
FullSF,false,true,0.07071067811865475,16,0.2958836669654001
BlockSF,false,true,0.05,32,0.4834395846346706
DiagSF,false,true,0.025,128,0.8540905195620294
DiagSF,false,false,0.1,256,1.4155977473593682e115
FullSF,false,false,0.1,32,0.16489428119996774
BlockSF,false,false,0.1,64,0.4941913914668588
FullSF,false,true,0.05,32,0.5061002238247229
BlockSF,false,true,0.035355339059327376,64,0.666967880437147
DiagSF,false,false,0.1,512,Inf
DiagSF,false,true,0.017677669529663688,256,5.486700048457901e13
BlockSF,false,false,0.1,128,NaN
FullSF,false,false,0.1,64,0.2672615542516415
FullSF,false,true,0.035355339059327376,64,0.6361105756641391
BlockSF,false,true,0.025,128,0.7996077203279135
DiagSF,false,true,0.0125,512,2.5201535263775467e38
BlockSF,false,false,0.1,256,1.7399704970774306e41
DiagSF,false,false,0.1,1024,NaN
FullSF,false,false,0.1,128,0.2582555477012542
FullSF,false,true,0.025,128,0.7337497184375603
BlockSF,false,true,0.017677669529663688,256,0.8646445099430322
BlockSF,false,false,0.1,512,NaN
DiagSF,false,true,0.008838834764831844,1024,2.084601077442666e89
FullSF,false,false,0.1,256,NaN
BlockSF,false,true,0.0125,512,NaN
FullSF,false,true,0.017677669529663688,256,0.8898872088786552
BlockSF,false,false,0.1,1024,NaN
BlockSF,false,true,0.008838834764831844,1024,1.1564520232134899e69
DiagSF,false,false,0.1,8,0.297606252986901
DiagSF,false,false,0.1,16,0.2907928874692319
DiagSF,false,true,0.1,8,0.29022772674025793
DiagSF,false,false,0.1,32,0.35586202465417843
DiagSF,false,true,0.07071067811865475,16,0.4620317626073345
BlockSF,false,false,0.1,8,0.2433045242298424
DiagSF,false,false,0.1,64,0.5157796284941397
DiagSF,false,true,0.05,32,0.6363741873634556
BlockSF,false,true,0.1,8,0.2140381461192553
BlockSF,false,false,0.1,16,0.23645936846128793
FullSF,false,false,0.1,8,0.15729787389285543
FullSF,false,true,0.1,8,0.18708819806463617
BlockSF,false,true,0.07071067811865475,16,0.42303802937142243
DiagSF,false,false,0.1,128,Inf
DiagSF,false,true,0.035355339059327376,64,0.780027773112926
BlockSF,false,false,0.1,32,0.26087418051647504
FullSF,false,false,0.1,16,0.2352365015640777
FullSF,false,true,0.07071067811865475,16,0.3257211881893627
BlockSF,false,true,0.05,32,0.5369852762388712
DiagSF,false,true,0.025,128,0.8740989078309928
BlockSF,false,false,0.1,64,0.33754736212631375
FullSF,false,false,0.1,32,0.276251512176616
DiagSF,false,false,0.1,256,NaN
FullSF,false,true,0.05,32,0.45370896365968083
BlockSF,false,true,0.035355339059327376,64,0.621087725973505
BlockSF,false,false,0.1,128,7.29718608418693e84
FullSF,false,false,0.1,64,0.34229097908172706
DiagSF,false,false,0.1,512,7.680096704547298e71
DiagSF,false,true,0.017677669529663688,256,0.9549351586813861
FullSF,false,true,0.035355339059327376,64,0.6692509907386963
BlockSF,false,true,0.025,128,0.7778222636097949
DiagSF,false,false,0.1,1024,NaN
DiagSF,false,true,0.0125,512,1.1000067348951317e21
BlockSF,false,false,0.1,256,NaN
FullSF,false,false,0.1,128,NaN
FullSF,false,true,0.025,128,0.7218684495821437
BlockSF,false,true,0.017677669529663688,256,0.902944518251214
DiagSF,false,true,0.008838834764831844,1024,3.1894206217452954e48
BlockSF,false,false,0.1,512,NaN
FullSF,false,false,0.1,256,NaN
BlockSF,false,true,0.0125,512,1.8225968360486695e43
FullSF,false,true,0.017677669529663688,256,0.8648861894183247
DiagSF,false,false,0.1,8,0.29368114518515653
DiagSF,false,false,0.1,16,0.3612607213339307
DiagSF,false,true,0.1,8,0.2027681288436676
DiagSF,false,false,0.1,32,0.3593863453164775
DiagSF,false,true,0.07071067811865475,16,0.40783212222659115
BlockSF,false,false,0.1,8,0.2021221537907069
DiagSF,false,false,0.1,64,0.4993477305245685
BlockSF,false,true,0.1,8,0.1712580060073277
DiagSF,false,true,0.05,32,0.6476119837859535
BlockSF,false,false,0.1,16,0.21517992400040897
FullSF,false,false,0.1,8,0.20740155365600974
FullSF,false,true,0.1,8,0.15550243541292302
BlockSF,false,true,0.07071067811865475,16,0.32934090751876727
DiagSF,false,false,0.1,128,NaN
DiagSF,false,true,0.035355339059327376,64,0.7973102179627325
BlockSF,false,false,0.1,32,0.28538937800188524
FullSF,false,false,0.1,16,0.2091368506356547
FullSF,false,true,0.07071067811865475,16,0.3068358304324212
BlockSF,false,true,0.05,32,0.5374274387380175
DiagSF,false,true,0.025,128,0.8777936209879564
BlockSF,false,false,0.1,64,0.354576102093968
FullSF,false,false,0.1,32,0.24886181918533803
DiagSF,false,false,0.1,256,Inf
FullSF,false,true,0.05,32,0.5007081194379456
BlockSF,false,true,0.035355339059327376,64,0.6942663889272607
BlockSF,false,false,0.1,128,NaN
FullSF,false,false,0.1,64,0.31082548363870155
DiagSF,false,false,0.1,512,NaN
DiagSF,false,true,0.017677669529663688,256,0.9478362571692303
FullSF,false,true,0.035355339059327376,64,0.6436928789066834
BlockSF,false,true,0.025,128,0.8204200109121258
DiagSF,false,false,0.1,1024,NaN
DiagSF,false,true,0.0125,512,2.5359792743546826e27
BlockSF,false,false,0.1,256,NaN
FullSF,false,false,0.1,128,NaN
FullSF,false,true,0.025,128,0.7240003322362338
BlockSF,false,true,0.017677669529663688,256,0.912217977137319
DiagSF,false,true,0.008838834764831844,1024,2.5840311901128924e57
BlockSF,false,false,0.1,512,1.1621004860977607e172
FullSF,false,false,0.1,256,NaN
BlockSF,false,true,0.0125,512,1.1246616610950217e31
FullSF,false,true,0.017677669529663688,256,0.8349842835612632
BlockSF,false,false,0.1,1024,NaN
BlockSF,false,true,0.008838834764831844,1024,NaN
DiagSF,false,false,0.1,8,0.3326015752557601
DiagSF,false,false,0.1,16,0.3495627017801621
DiagSF,false,true,0.1,8,0.237685063911425
DiagSF,false,false,0.1,32,0.3822265907578739
DiagSF,false,true,0.07071067811865475,16,0.4311678866492911
BlockSF,false,false,0.1,8,0.1809345856894702
DiagSF,false,false,0.1,64,0.5147563153291619
BlockSF,false,true,0.1,8,0.22431584822272688
DiagSF,false,true,0.05,32,0.6107368446788971
BlockSF,false,false,0.1,16,0.24886511576918233
FullSF,false,false,0.1,8,0.19774370661553756
FullSF,false,true,0.1,8,0.1754220900556721
BlockSF,false,true,0.07071067811865475,16,0.3553750530489053
DiagSF,false,false,0.1,128,1.152386682334822e60
DiagSF,false,true,0.035355339059327376,64,0.7716271788834681
FullSF,false,false,0.1,16,0.15723341641083774
BlockSF,false,false,0.1,32,0.31285408152537586
FullSF,false,true,0.07071067811865475,16,0.3019983232774181
BlockSF,false,true,0.05,32,0.5361097799344421
DiagSF,false,true,0.025,128,0.8422426709908789
BlockSF,false,false,0.1,64,0.25455282057897044
FullSF,false,false,0.1,32,0.2593615892081103
DiagSF,false,false,0.1,256,NaN
FullSF,false,true,0.05,32,0.4420077773996821
BlockSF,false,true,0.035355339059327376,64,0.7640307291766565
BlockSF,false,false,0.1,128,0.48318807800872654
FullSF,false,false,0.1,64,0.3209760333942878
DiagSF,false,true,0.017677669529663688,256,0.9176153029797156
DiagSF,false,false,0.1,512,NaN
FullSF,false,true,0.035355339059327376,64,0.6397410949522335
BlockSF,false,true,0.025,128,0.8099947121051115
BlockSF,false,false,0.1,256,NaN
FullSF,false,false,0.1,128,0.28477841589467306
DiagSF,false,true,0.0125,512,1.65408472736286e29
FullSF,false,true,0.025,128,0.7945100074765836
BlockSF,false,true,0.017677669529663688,256,0.8944774239962857
BlockSF,false,false,0.1,512,NaN
FullSF,false,false,0.1,256,NaN
BlockSF,false,true,0.0125,512,2.0425259484947403e56
FullSF,false,true,0.017677669529663688,256,0.8543682406906816
DiagSF,false,false,0.1,8,0.25565974246496903
DiagSF,false,false,0.1,16,0.340134099007869
DiagSF,false,true,0.1,8,0.24495114707967713
DiagSF,false,false,0.1,32,0.38224928575346356
DiagSF,false,true,0.07071067811865475,16,0.40782735573270606
BlockSF,false,false,0.1,8,0.19107118632638256
DiagSF,false,false,0.1,64,0.49658718234030147
DiagSF,false,true,0.05,32,0.5888603841547669
BlockSF,false,true,0.1,8,0.17749623357383634
BlockSF,false,false,0.1,16,0.2339859967268603
FullSF,false,false,0.1,8,0.2286768770419214
FullSF,false,true,0.1,8,0.19369464351610188
DiagSF,false,false,0.1,128,6.204849010325271e82
BlockSF,false,true,0.07071067811865475,16,0.33454286995286325
DiagSF,false,true,0.035355339059327376,64,0.7385603061739713
BlockSF,false,false,0.1,32,0.268071809605688
FullSF,false,false,0.1,16,0.24291681954604616
FullSF,false,true,0.07071067811865475,16,0.29554690726523275
BlockSF,false,true,0.05,32,0.49677717975842767
DiagSF,false,true,0.025,128,0.8867426097222846
BlockSF,false,false,0.1,64,0.35738386973488984
FullSF,false,false,0.1,32,0.27415326870324813
DiagSF,false,false,0.1,256,NaN
FullSF,false,true,0.05,32,0.5383261852235023
BlockSF,false,true,0.035355339059327376,64,0.6476307831711978
BlockSF,false,false,0.1,128,NaN
FullSF,false,false,0.1,64,0.23555708487575633
DiagSF,false,true,0.017677669529663688,256,0.9544175926126716
DiagSF,false,false,0.1,512,NaN
FullSF,false,true,0.035355339059327376,64,0.6200506239475421
BlockSF,false,true,0.025,128,0.7844004490338728
DiagSF,false,false,0.1,1024,NaN
BlockSF,false,false,0.1,256,NaN
DiagSF,false,true,0.0125,512,1.6308028236746666e35
FullSF,false,false,0.1,128,0.18734979111926311
FullSF,false,true,0.025,128,0.7331167279647542
BlockSF,false,true,0.017677669529663688,256,0.9077765077718456
DiagSF,false,true,0.008838834764831844,1024,2.176835513594838e33
BlockSF,false,false,0.1,512,2.980923076408301e46
FullSF,false,false,0.1,256,NaN
BlockSF,false,true,0.0125,512,0.9961975836409209
FullSF,false,true,0.017677669529663688,256,0.8434498210389838
BlockSF,false,false,0.1,1024,NaN
BlockSF,false,true,0.008838834764831844,1024,NaN
DiagSF,false,false,0.1,8,0.26346054995210333
DiagSF,false,false,0.1,16,0.26952618754621566
DiagSF,false,true,0.1,8,0.29625742070818656
DiagSF,false,false,0.1,32,0.3814288578677002
DiagSF,false,true,0.07071067811865475,16,0.44911033369569797
BlockSF,false,false,0.1,8,0.2539218082154233
DiagSF,false,false,0.1,64,0.3784201836170545
DiagSF,false,true,0.05,32,0.5877145282992317
BlockSF,false,true,0.1,8,0.2743964328093267
BlockSF,false,false,0.1,16,0.19776107790102562
FullSF,false,false,0.1,8,0.15860547544919085
FullSF,false,true,0.1,8,0.21042368749467655
BlockSF,false,true,0.07071067811865475,16,0.40533645130689017
DiagSF,false,false,0.1,128,NaN
DiagSF,false,true,0.035355339059327376,64,0.7948782357157882
BlockSF,false,false,0.1,32,0.2705257038776622
