filter,rho,mse
DiagSF,128.0,0.19903586741528528
DiagSF,4.0,0.48731927302232714
DiagSF,64.0,0.2519364217568341
DiagSF,8.0,0.383674169655403
DiagSF,16.0,0.2947169921808495
DiagSF,32.0,0.2565440268780344
DiagSF,256.0,NaN
DiagSF,1.0,0.7051298001692344
BlockSF,8.0,0.4023815280279731
BlockSF,64.0,0.22385816450414406
BlockSF,128.0,0.14781603111037336
BlockSF,4.0,0.5060019996470427
BlockSF,16.0,0.2911090892725531
BlockSF,32.0,0.2393921812974627
BlockSF,256.0,NaN
BlockSF,1.0,0.7166894805623619
DiagSF,32.0,0.23002832584872135
DiagSF,16.0,0.3126599851372851
DiagSF,4.0,0.4825602681587082
DiagSF,256.0,NaN
DiagSF,1.0,0.7217168565472607
DiagSF,128.0,0.2710116475471902
DiagSF,64.0,0.1506538885586013
DiagSF,8.0,0.39424029280266976
BlockSF,16.0,0.29515049937705473
BlockSF,4.0,0.5043120903900169
BlockSF,64.0,0.1684196263653859
BlockSF,128.0,0.20496818706115338
BlockSF,256.0,NaN
BlockSF,8.0,0.3759030893155447
BlockSF,1.0,0.7322304842302808
BlockSF,32.0,0.23895201911659145
DiagSF,128.0,0.2584525139805139
DiagSF,4.0,0.5094184849111
DiagSF,16.0,0.3234295194958458
DiagSF,1.0,0.748608882186591
DiagSF,64.0,0.20691790037655022
DiagSF,32.0,0.2225939471868303
DiagSF,256.0,NaN
DiagSF,8.0,0.39427723405725656
BlockSF,256.0,NaN
BlockSF,128.0,0.19091402141081523
BlockSF,32.0,0.19022893605245078
BlockSF,8.0,0.4004579189010174
BlockSF,1.0,0.7224515471586942
BlockSF,4.0,0.5045262950245689
BlockSF,64.0,0.24932706064973195
BlockSF,16.0,0.29401409834418984
DiagSF,128.0,0.2038808978544482
DiagSF,256.0,NaN
DiagSF,16.0,0.2923058578061684
DiagSF,1.0,0.7133235489978981
DiagSF,4.0,0.4995076349410972
DiagSF,32.0,0.2511301653075071
DiagSF,64.0,0.1947350449362784
DiagSF,8.0,0.39846547906365215
BlockSF,256.0,NaN
BlockSF,128.0,0.165275270615343
BlockSF,4.0,0.5069614852196869
BlockSF,16.0,0.3149745852171808
BlockSF,64.0,0.11663358094422209
BlockSF,8.0,0.3895975988248198
BlockSF,32.0,0.28830640109542893
BlockSF,1.0,0.7362834311754215
DiagSF,16.0,0.3152351239495512
DiagSF,64.0,0.23439090804586907
DiagSF,256.0,NaN
DiagSF,1.0,0.7051173077791218
DiagSF,32.0,0.21802290980123223
DiagSF,4.0,0.5016311613007107
DiagSF,8.0,0.380195071593567
DiagSF,128.0,0.205106012846037
BlockSF,256.0,NaN
BlockSF,64.0,0.2055520069780191
BlockSF,128.0,0.18023709453271683
BlockSF,16.0,0.2928374288365108
BlockSF,1.0,0.7238348405291459
BlockSF,4.0,0.4798557573026149
BlockSF,32.0,0.2324614404712232
BlockSF,8.0,0.4050563719549081
DiagSF,64.0,0.16706785949811062
DiagSF,1.0,0.7395373941865331
DiagSF,32.0,0.22053956846794162
DiagSF,8.0,0.39523932543301465
DiagSF,4.0,0.5088033064344674
DiagSF,256.0,NaN
DiagSF,128.0,0.27965227857970354
DiagSF,16.0,0.2887697649259438
BlockSF,4.0,0.48996183222180056
BlockSF,8.0,0.3905721269383743
BlockSF,64.0,0.20443129077477254
BlockSF,32.0,0.25794027796072133
BlockSF,1.0,0.7333598128758205
BlockSF,256.0,NaN
BlockSF,128.0,0.133262392588993
BlockSF,16.0,0.31643695237963615
DiagSF,64.0,0.22866212296957356
DiagSF,256.0,NaN
DiagSF,8.0,0.37807436398984373
DiagSF,32.0,0.22341290355027169
DiagSF,1.0,0.7225363532009734
DiagSF,4.0,0.5020343583844642
DiagSF,16.0,0.31014214528009154
DiagSF,128.0,0.18240893019216003
BlockSF,256.0,3.350837944088128e45
BlockSF,64.0,0.19643353510810282
