filter,sparse_input,beta,dim,mse
DiagSF,false,0.1,8,0.2591866387955921
DiagSF,true,0.1,8,0.26263737069754517
DiagSF,false,0.05,32,0.49548354551991575
DiagSF,false,0.07071067811865475,16,0.3589744428765953
DiagSF,true,0.1,32,0.5719769438790564
DiagSF,false,0.035355339059327376,64,0.5610540745646344
DiagSF,true,0.1,16,0.3977401950819845
DiagSF,true,0.1,64,0.8030646525712529
DiagSF,false,0.025,128,0.6790763956891839
DiagSF,true,0.1,128,0.9003581895771543
DiagSF,false,0.017677669529663688,256,0.8170933685574463
DiagSF,false,0.0125,512,0.8892509464971502
DiagSF,true,0.1,256,0.8705269843360841
DiagSF,false,0.008838834764831844,1024,0.9306469202860637
DiagSF,false,0.00625,2048,0.9715886115016429
DiagSF,true,0.1,512,0.9102768842832203
DiagSF,true,0.1,1024,0.9485750319127917
DiagSF,true,0.1,2048,0.997416990736326
BlockSF,false,0.1,8,0.22888411818417778
BlockSF,true,0.1,8,0.24665226476490598
BlockSF,false,0.05,32,0.46441847770186473
BlockSF,false,0.07071067811865475,16,0.32925253318054193
BlockSF,true,0.1,16,0.3703620503375226
BlockSF,true,0.1,32,0.5392376183042927
BlockSF,false,0.035355339059327376,64,0.5652299019330229
BlockSF,true,0.1,64,0.6801493196406897
BlockSF,false,0.025,128,0.6937712145982559
BlockSF,true,0.1,128,0.8491469361090803
BlockSF,false,0.017677669529663688,256,0.7824256619288151
BlockSF,false,0.0125,512,0.8749554596088092
BlockSF,true,0.1,256,0.8972353112493514
BlockSF,false,0.008838834764831844,1024,0.9211282716711702
BlockSF,true,0.1,512,0.9097876346181478
BlockSF,false,0.00625,2048,0.9530239422898765
BlockSF,true,0.1,1024,0.9609092632315789
BlockSF,true,0.1,2048,0.9813818379607535
FullSF,false,0.1,8,0.2251110339400228
FullSF,true,0.1,8,0.2518680551956743
FullSF,false,0.07071067811865475,16,0.3268396138327458
FullSF,false,0.05,32,0.43345899763404805
FullSF,true,0.1,16,0.3665076450262048
FullSF,true,0.1,32,0.5527537307037674
FullSF,false,0.035355339059327376,64,0.5722404246991061
FullSF,true,0.1,64,0.6953649479970967
FullSF,false,0.025,128,0.683084885001458
FullSF,true,0.1,128,0.8427449571202424
FullSF,false,0.017677669529663688,256,0.7901678919747305
FullSF,true,0.1,256,0.8904395149979114
FullSF,false,0.0125,512,0.872236583353956
FullSF,true,0.1,512,0.9217511638629335
DiagSF,false,0.1,8,0.27734933537667905
DiagSF,true,0.1,8,0.2898611040552328
DiagSF,false,0.05,32,0.4713404824568278
DiagSF,true,0.1,32,0.5508402365330084
DiagSF,false,0.07071067811865475,16,0.34741381781082104
DiagSF,false,0.035355339059327376,64,0.600238459821396
DiagSF,true,0.1,16,0.3637117110810388
DiagSF,true,0.1,64,0.7966751219876193
DiagSF,false,0.025,128,0.6757254756267159
DiagSF,true,0.1,128,0.9139540498268317
DiagSF,false,0.017677669529663688,256,0.8043784528206356
DiagSF,false,0.0125,512,0.8965039443192484
DiagSF,true,0.1,256,0.8795769483194326
DiagSF,false,0.008838834764831844,1024,0.9297252965610765
DiagSF,true,0.1,512,0.9266956994413512
DiagSF,false,0.00625,2048,0.9579463792183726
DiagSF,true,0.1,1024,0.9588392624647613
DiagSF,true,0.1,2048,0.9834943644262866
BlockSF,false,0.1,8,0.24219364728390463
BlockSF,true,0.1,8,0.2714620817744508
BlockSF,false,0.05,32,0.44547497375460304
BlockSF,false,0.07071067811865475,16,0.3580800411029341
BlockSF,true,0.1,32,0.5028555664685281
BlockSF,true,0.1,16,0.37978165584646967
BlockSF,false,0.035355339059327376,64,0.591227035781471
BlockSF,true,0.1,64,0.7216828609390034
BlockSF,false,0.025,128,0.6983670899857787
BlockSF,false,0.017677669529663688,256,0.8156822963114256
BlockSF,true,0.1,128,0.8704356944238048
BlockSF,false,0.0125,512,0.8808293118170593
BlockSF,true,0.1,256,0.8868904562400219
BlockSF,false,0.008838834764831844,1024,0.9216342969223764
BlockSF,true,0.1,512,0.898568626008577
BlockSF,false,0.00625,2048,0.956052748234238
BlockSF,true,0.1,1024,0.9699069672665935
BlockSF,true,0.1,2048,0.9887080319316349
FullSF,false,0.1,8,0.2502525301195065
FullSF,true,0.1,8,0.24088099232626362
FullSF,false,0.05,32,0.41769288472487565
FullSF,false,0.07071067811865475,16,0.3550870078606797
FullSF,true,0.1,16,0.3703894311410673
FullSF,true,0.1,32,0.5196975462202521
FullSF,false,0.035355339059327376,64,0.5888891419086364
FullSF,true,0.1,64,0.7221982003505767
FullSF,false,0.025,128,0.6783604091902324
FullSF,true,0.1,128,0.7922692487884908
FullSF,false,0.017677669529663688,256,0.824388915858158
FullSF,true,0.1,256,0.8891091209393686
FullSF,false,0.0125,512,0.880122468336436
FullSF,true,0.1,512,0.9243884967840778
FullSF,false,0.008838834764831844,1024,0.9284581312061371
DiagSF,false,0.1,8,0.2769549150268837
DiagSF,false,0.05,32,0.4763645522939923
DiagSF,true,0.1,8,0.2749861929144167
DiagSF,true,0.1,32,0.5649581233682731
DiagSF,false,0.07071067811865475,16,0.3989856684004392
DiagSF,false,0.035355339059327376,64,0.5750623466052881
DiagSF,true,0.1,16,0.37288376896352265
