filter,eta,sparse_input,beta,dim,mse
GradientRule,0.5,false,0.1,8,0.3344768756987003
GradientRule,0.5,true,0.1,8,0.34647829282709575
GradientRule,0.5,false,0.05,32,0.48732382617299425
GradientRule,0.5,false,0.07071067811865475,16,0.42606109480434007
GradientRule,0.5,true,0.1,32,1.2296768603944566
GradientRule,0.5,true,0.1,16,0.6549757699693495
GradientRule,0.5,false,0.035355339059327376,64,0.6615409747258417
GradientRule,0.5,true,0.1,64,1.7234877900497507
GradientRule,0.5,false,0.025,128,0.8774190440372804
GradientRule,0.5,true,0.1,128,1.799015149239817
GradientRule,0.5,false,0.017677669529663688,256,1.032495502564861
GradientRule,0.5,false,0.0125,512,1.1244245587201407
GradientRule,0.5,true,0.1,256,1.7629091612954078
GradientRule,0.5,false,0.008838834764831844,1024,1.1820187245752
GradientRule,0.5,true,0.1,512,1.4235490614044344
GradientRule,0.5,false,0.00625,2048,1.1489194627607473
GradientRule,0.5,true,0.1,1024,1.0656331905691752
GradientRule,0.5,true,0.1,2048,1.0021722680353669
GradientRule,0.25,false,0.1,8,0.27743968010845166
GradientRule,0.25,true,0.1,8,0.26896245515876593
GradientRule,0.25,false,0.05,32,0.5715220035466397
GradientRule,0.25,false,0.07071067811865475,16,0.38162849391136977
GradientRule,0.25,true,0.1,32,1.1825060280254558
GradientRule,0.25,true,0.1,16,0.6959704102168925
GradientRule,0.25,false,0.035355339059327376,64,0.6966692190245248
GradientRule,0.25,true,0.1,64,1.3559263838450573
GradientRule,0.25,false,0.025,128,0.8524292617245552
GradientRule,0.25,true,0.1,128,1.470988115360423
GradientRule,0.25,false,0.017677669529663688,256,0.9691186878421528
GradientRule,0.25,false,0.0125,512,1.0445965825810761
GradientRule,0.25,true,0.1,256,1.2818191117954876
GradientRule,0.25,false,0.008838834764831844,1024,1.0435250787784058
GradientRule,0.25,true,0.1,512,1.0776126948820688
GradientRule,0.25,false,0.00625,2048,1.0401965337556947
GradientRule,0.25,true,0.1,1024,1.0126221228383572
GradientRule,0.25,true,0.1,2048,1.001725430948534
GradientRule,0.125,false,0.1,8,0.3524113739903091
GradientRule,0.125,true,0.1,8,0.2988559324326875
GradientRule,0.125,false,0.05,32,0.5774926924223406
GradientRule,0.125,false,0.07071067811865475,16,0.43131975265657646
GradientRule,0.125,true,0.1,16,0.6839397936885946
GradientRule,0.125,true,0.1,32,1.170313888941212
GradientRule,0.125,false,0.035355339059327376,64,0.797132016549229
GradientRule,0.125,true,0.1,64,1.2297817784234175
GradientRule,0.125,false,0.025,128,0.9097310531257939
GradientRule,0.125,true,0.1,128,1.3710694540098458
GradientRule,0.125,false,0.017677669529663688,256,0.9774938379779939
GradientRule,0.125,false,0.0125,512,0.999277113048773
GradientRule,0.125,true,0.1,256,1.1564440271028436
GradientRule,0.125,false,0.008838834764831844,1024,1.006037755668348
GradientRule,0.125,true,0.1,512,1.0287846029690726
GradientRule,0.125,false,0.00625,2048,1.0025660939825958
GradientRule,0.125,true,0.1,1024,0.996099758055155
GradientRule,0.125,true,0.1,2048,0.9978417099675848
