filter,sparse_input,beta,dim,mse_mean_minimum
GradientRule,false,0.1,8,0.27135299984268174
GradientRule,true,0.1,8,0.2740836482016265
GradientRule,false,0.05,32,0.5281468354263724
GradientRule,false,0.07071067811865475,16,0.3881131778015679
GradientRule,true,0.1,32,0.9945797564995054
GradientRule,true,0.1,16,0.6221342925522053
GradientRule,false,0.035355339059327376,64,0.68317720246061
GradientRule,true,0.1,64,0.9967131734270838
GradientRule,false,0.025,128,0.850548216563106
GradientRule,true,0.1,128,0.9946590186990987
GradientRule,false,0.017677669529663688,256,0.9716984088004216
GradientRule,false,0.0125,512,0.9857732881351629
GradientRule,true,0.1,256,0.9930245402548676
GradientRule,false,0.008838834764831844,1024,0.9928634290572209
GradientRule,true,0.1,512,0.9963652371409855
GradientRule,false,0.00625,2048,0.9958759685434999
GradientRule,true,0.1,1024,0.9953387663546605
GradientRule,true,0.1,2048,0.9974467432360207
GradientRule,false,0.05773502691896258,24,0.4676280386185315
GradientRule,false,0.040824829046386304,48,0.6121234750035374
GradientRule,true,0.1,24,0.9254479447098083
GradientRule,true,0.1,48,0.9977026669671578
